"source_path","filename","size_bytes","publish_year_detected","target_year","doc_type_guess","rule_applied","staged_path"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23-24_sportsman_odds.pdf","23-24_sportsman_odds.pdf","102242","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\96E43943__23-24_sportsman_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\2023 ALL SPECIES HARVEST DATA.pdf","2023 ALL SPECIES HARVEST DATA.pdf","417167","2023","2022","harvest_report","harvest_results_previous_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\7DDF75D1__2023 ALL SPECIES HARVEST DATA.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\2023_antlerless_hr.pdf","2023_antlerless_hr.pdf","207839","2023","2022","harvest_report","harvest_results_previous_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\20FA0DAF__2023_antlerless_hr.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\2023_gs_buck_deer_hr.pdf","2023_gs_buck_deer_hr.pdf","154279","2023","2022","harvest_report","harvest_results_previous_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\7A344CF2__2023_gs_buck_deer_hr.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\BIGHORN SHEEP 2023-harvest-data.pdf","BIGHORN SHEEP 2023-harvest-data.pdf","167587","2023","2022","harvest_report","harvest_results_previous_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\harvest_23-24.pdf","harvest_23-24.pdf","5568070","2023","2022","harvest_report","harvest_results_previous_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\EA8DD3DD__harvest_23-24.pdf"
"D:\Downloads\Tyler Files\Tyler Files\Registered_Outfitters DWR - Table 1 (2026_03_09 00_04_09 UTC).pdf","Registered_Outfitters DWR - Table 1 (2026_03_09 00_04_09 UTC).pdf","72889","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\735D2FA0__Registered_Outfitters DWR - Table 1 (2026_03_09 00_04_09 UTC).pdf"
"D:\Downloads\Tyler Files\Tyler Files\Registered_Outfitters DWR - Table 1.pdf","Registered_Outfitters DWR - Table 1.pdf","72889","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\2F49C188__Registered_Outfitters DWR - Table 1.pdf"
"D:\Downloads\U.O.G.A. Hunt Planner _ VERIFIED OUTFITTERS.pdf","U.O.G.A. Hunt Planner _ VERIFIED OUTFITTERS.pdf","1701628","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\B09A3366__U.O.G.A. Hunt Planner _ VERIFIED OUTFITTERS.pdf"
"D:\Downloads\upland_turkey_guidebook.pdf","upland_turkey_guidebook.pdf","6395849","2025","2025","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2025\other\82BF7762__upland_turkey_guidebook.pdf"
