hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,res_permits,non_res_permits,total_permits,permits_2025_res,permits_2025_nr,permits_2025_total,source_file,source_sheet
Boulder,EL3145,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EL3146,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Box Elder, Grouse Creek",EL3147,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Boulder,EL3148,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EL3149,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Box Elder, Grouse Creek",EL3150,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Boulder,EL3151,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EL3152,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Box Elder, Grouse Creek",EL3153,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Boulder,EL3154,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EL3155,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Beaver, East",EL3158,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Beaver, East",EL3159,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EL3160,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EL3161,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EL3162,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EL3163,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EL3164,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EL3166,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EL3167,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EL3168,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EL3169,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, South",EL3170,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, South",EL3171,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Manti,EL3172,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EL3173,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EL3174,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EL3175,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EL3176,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EL3177,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EL3179,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EL3180,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EL3181,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"La Sal, La Sal Mtns",EL3182,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"La Sal, La Sal Mtns",EL3183,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Monroe,EL3184,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Monroe,EL3185,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Mt Dutton,EL3186,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Mt Dutton,EL3187,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EL3188,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EL3189,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Boulder,EL3190,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Boulder,EL3191,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EL3192,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EL3193,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EL3194,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EL3195,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EL3196,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EL3197,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EL3198,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EL3199,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
East Canyon,EL3205,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry - Private Land Only,Dec 20 2025 - Dec 28 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Morgan-South Rich,EL3208,Bull,Elk,Any Legal Weapon (Late),Limited Entry - Private Land Only,Dec 20 2025 - Dec 28 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EL3210,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn Landowner Association,LO0011,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Valid only on property enrolled in the Diamond Mtn LOA,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn Landowner Association,LO0012,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,"Sept 17-Sept 21, 2025 - Valid only on property enrolled in the Diamond Mtn LOA",,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn Landowner Association,LO0013,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,"Oct 4, 2025 - Oct 16, 2025 - Valid only on property enrolled in the Diamond Mtn LOA",,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn Landowner Association,LO0014,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,"Sept 22, 2025 - Oct 3, 2025 - Valid only on property enrolled in the Diamond Mtn LOA",,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn Landowner Association,LO0015,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Valid only on property enrolled in the Diamond Mtn LOA,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, Rich",EA1010,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,18,2,,18,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Cache, Richards Hollow",EA1011,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 31 2025,9,1,,9,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Cache, Richmond Hyde Park",EA1012,Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2025 - Dec 01 2025,4,1,,4,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, Central",EA1013,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,,63,7,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, Ferron Canyon",EA1015,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,,63,7,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, Gordon Creek-Price Canyon",EA1017,Antlerless,Elk,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, Horn Mtn",EA1018,Antlerless,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Dec 31 2025,54,6,,54,6,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, Mohrland-Stump Flat",EA1020,Antlerless,Elk,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,108,12,,108,12,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Nebo,EA1021,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,207,23,,207,23,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, North",EA1022,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,270,30,,270,30,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, South",EA1023,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, South",EA1024,Antlerless,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Jan 31 2026,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, West",EA1025,Antlerless,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Jan 31 2026,108,12,,108,12,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Chalk Creek,EA1026,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,315,35,,315,35,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Fillmore, Pahvant",EA1030,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 06 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Fillmore, Pahvant",EA1031,Antlerless,Elk,Any Legal Weapon,General Season,Dec 13 2025 - Jan 30 2026,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Kamas,EA1033,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 18 2026,112,13,,112,13,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Kamas, Oakley",EA1035,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Dec 31 2025,112,13,,112,13,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"La Sal, Dolores Triangle",EA1037,Antlerless,Elk,Any Legal Weapon,General Season,Dec 12 2025 - Jan 31 2026,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"La Sal, La Sal Mtns",EA1038,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,180,20,,180,20,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"La Sal, La Sal Mtns",EA1039,Antlerless,Elk,Any Legal Weapon,General Season,Nov 17 2025 - Dec 31 2025,135,15,,135,15,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Morgan-South Rich, South Rich",EA1044,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Jan 31 2026,31,4,,31,4,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Mt Dutton, Deep Creek",EA1049,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 07 2025,67,8,,67,8,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nine Mile, West Anthro",EA1054,Antlerless,Elk,Any Legal Weapon,General Season,Dec 13 2025 - Dec 30 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, Greendale",EA1056,Antlerless,Elk,Any Legal Weapon,General Season,Nov 17 2025 - Nov 30 2025,4,1,,4,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, Henry's Fork-Burnt Fork",EA1058,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, West Daggett",EA1060,Antlerless,Elk,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,18,2,,18,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, West Daggett",EA1061,Antlerless,Elk,Muzzleloader,General Season,Sep 24 2025 - Oct 02 2025,18,2,,18,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Ogden,EA1063,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,67,8,,67,8,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Ogden,EA1064,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Nov 30 2025,67,8,,67,8,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Panguitch Lake,EA1069,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,31,4,,31,4,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Paunsaugunt,EA1073,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 30 2025,18,2,,18,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Boulder East,EA1075,Antlerless,Elk,Any Legal Weapon,General Season,Nov 21 2025 - Dec 31 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Boulder West,EA1076,Antlerless,Elk,Any Legal Weapon,General Season,Nov 21 2025 - Dec 31 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Boulder-Circle Cliffs,EA1077,Antlerless,Elk,Any Legal Weapon,General Season,Oct 07 2025 - Jan 10 2026,27,3,,27,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Fishlake/Thousand Lakes,EA1078,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,243,27,,243,27,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Fishlake/Thousand Lakes East,EA1079,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 31 2025,58,7,,58,7,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Fishlake/Thousand Lakes West,EA1080,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 31 2025,54,6,,54,6,,2026_ANTLERLESS_ELK.xlsx,Sheet1
San Juan,EA1081,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,112,13,,112,13,,2026_ANTLERLESS_ELK.xlsx,Sheet1
San Juan,EA1082,Antlerless,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Dec 31 2025,112,13,,112,13,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"San Rafael, North",EA1084,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,4,1,,4,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Vernal/Bonanza,EA1085,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 17 2025,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Bonanza/Vernal,EA1087,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 17 2025,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Diamond Mtn,EA1089,Antlerless,Elk,Any Legal Weapon,General Season,Nov 01 2025 - Nov 09 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Diamond Mtn,EA1090,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Nov 23 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Vernal, Mosby Mtn",EA1094,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 04 2026,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Southwest Desert,EA1101,Antlerless,Elk,Any Legal Weapon,General Season,Nov 20 2025 - Jan 11 2026,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Avintaquin",EA1106,Antlerless,Elk,Any Legal Weapon,General Season,Jan 03 2026 - Jan 18 2026,180,20,,180,20,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Salt Lake",EA1110,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,40,5,,40,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Wallsburg",EA1111,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 14 2025,31,4,,31,4,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Wallsburg",EA1112,Antlerless,Elk,Any Legal Weapon,General Season,Dec 20 2025 - Jan 31 2026,49,6,,49,6,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, West Heber",EA1113,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,27,3,,27,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, West Timpanogos",EA1114,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,22,3,,22,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Zion,EA1117,Antlerless,Elk,Any Legal Weapon,General Season,Nov 11 2025 - Jan 11 2026,198,22,,198,22,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Alton CWMU,EA1118,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,,6,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Bar J Ranch CWMU,EA1119,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,,12,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Bear Mountain CWMU,EA1120,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,,20,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Boobe Hole CWMU,EA1121,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,,10,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Causey Spring CWMU,EA1122,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,,5,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Chimney Rock CWMU,EA1124,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,,12,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Coldwater Ranch CWMU,EA1125,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,25,0,,25,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Deseret CWMU,EA1129,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,425,0,,425,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Double Cone CWMU,EA1130,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,7,0,,7,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Durst Mountain CWMU,EA1131,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,30,0,,30,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
East Fork Chalk Creek CWMU,EA1132,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,30,0,,30,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Ensign Ranches CWMU,EA1134,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,60,0,,60,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Folley Ridge CWMU,EA1135,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,,20,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Grass Valley/Clark Canyon CWMU,EA1136,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,50,0,,50,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Grazing Pasture CWMU,EA1137,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,,9,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Guildersleeve CWMU,EA1138,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,,20,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Hardscrabble CWMU,EA1139,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,,10,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Heaston East CWMU,EA1140,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,24,0,,24,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Hiawatha CWMU,EA1141,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,,12,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Indian Head CWMU,EA1142,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,,12,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Circle E Ranch CWMU,EA1143,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,21,0,,21,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Johnson Mountain Ranch CWMU,EA1145,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,,20,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Jump Creek CWMU,EA1146,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,,9,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Little Red Creek CWMU,EA1147,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,,15,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Minnie Maud Ridge CWMU,EA1149,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,,15,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Moon Ranch CWMU,EA1151,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,,6,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Old Woman Plateau CWMU,EA1153,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,4,0,,4,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Preston Nutter Ranch CWMU,EA1156,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,21,0,,21,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Redd Ranches CWMU,EA1157,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,35,0,,35,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Cactus Ranch LLC CWMU,EA1158,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,7,0,,7,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
