year,hunt_number,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,access_type,permits_res,permits_nr,permits_total,hunters,harvest,success_percent,avg_days,satisfaction,source_type
2026,LO1583,Yellowstone,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1584,Southwest Desert,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1584,Southwest Desert,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1585,"Wasatch Mtns, East",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1585,"Wasatch Mtns, East",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1586,"Wasatch Mtns, West",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1586,"Wasatch Mtns, West",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1589,Zion,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,6.0,3.0,50.0,5.5,3.0,2025 carry-forward / hunt_join_2025
2026,LO1589,Zion,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1591,Fillmore,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,1.0,1.0,100.0,3.0,1.0,2025 carry-forward / hunt_join_2025
2026,LO1591,Fillmore,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1592,Kamas,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1592,Kamas,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1593,Nine Mile,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,2.0,2.0,100.0,1.5,4.5,2025 carry-forward / hunt_join_2025
2026,LO1593,Nine Mile,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1594,Panguitch Lake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,2.0,2.0,100.0,5.0,4.0,2025 carry-forward / hunt_join_2025
2026,LO1594,Panguitch Lake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1595,Pine Valley,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1595,Pine Valley,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1596,Fishlake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1596,Fishlake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1597,Zion,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,12.0,7.0,58.3,3.4,3.8,2025 carry-forward / hunt_join_2025
2026,LO1597,Zion,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1598,North Slope,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,1.0,0.0,0.0,2.0,4.0,2025 carry-forward / hunt_join_2025
2026,LO1598,North Slope,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1599,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,10.0,3.0,30.0,2.3,3.7,2025 carry-forward / hunt_join_2025
2026,LO1599,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1600,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1600,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1601,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,1.0,0.0,0.0,4.0,3.0,2025 carry-forward / hunt_join_2025
2026,LO1601,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1602,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1602,Chalk Creek,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1603,East Canyon,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,9.0,7.0,77.8,3.9,4.8,2025 carry-forward / hunt_join_2025
2026,LO1603,East Canyon,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1604,East Canyon,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,3.0,0.0,0.0,4.0,3.3,2025 carry-forward / hunt_join_2025
2026,LO1604,East Canyon,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1605,East Canyon,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1605,East Canyon,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1606,East Canyon,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1606,East Canyon,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1607,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,3.0,0.0,0.0,3.0,2.5,2025 carry-forward / hunt_join_2025
2026,LO1607,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1608,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,1.0,1.0,100.0,4.0,5.0,2025 carry-forward / hunt_join_2025
2026,LO1608,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1609,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1609,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1610,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1610,Morgan-South Rich,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1611,"Beaver, East",Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1611,"Beaver, East",Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1612,"Beaver, East",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1612,"Beaver, East",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
