huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
PB5065,11,13,13,2.8,84.6,11
PB5072,13,20,20,3.3,63.2,131
PB5076,42,44,43,2,97.4,30
PB5077,6,14,14,7.1,46.2,30
PB5078,12,15,15,2.9,78.6,30
PB5300,10,10,10,1.6,100,1
PB5302,34,36,36,1.9,93.5,1
PB5305,3,4,4,3,66.7,1
PB5306,2,3,3,5,50,1
PB5309,5,5,5,1.5,100,1
PB5311,7,9,9,1.7,77.8,1
PB5312,0,1,0,0,0,10
PB5313,1,1,1,10,100,19
PB5314,8,8,8,1.3,100,20
PB5315,5,5,5,2.5,100,133
PB5325,3,3,3,1,100,11
PB5326,2,3,3,2.3,66.7,11
PB5327,10,10,10,1.3,100,4
PB5328,6,7,6,1.7,100,1
PB5330,2,2,2,1.5,100,10
PB5331,24,38,38,3.7,62.9,11
PB5332,0,8,8,9,0,11
PB5337,4,5,5,2.3,75,30
PB5339,2,2,2,4,100,21
PB5341,0,1,0,0,0,1
PB5342,4,5,5,1.8,80,19
PB5343,2,2,2,1.5,100,2
PB5345,5,5,5,1,100,20
PD1000,18,39,35,2.2,51.5,1
PD1006,18,25,22,1.7,81,12
PD1012,5,9,8,2.1,62.5,1
PD1014,2,2,2,1,100,19
PD1016,2,10,9,1.5,25,135
PD1017,24,35,30,2,79.3,21
PD1025,10,10,10,1.5,100,10
PD1026,9,9,9,1.7,100,1
PD1031,12,6,6,1,100,20
PD1032,8,10,8,1.2,100,11
PD1034,21,24,23,1.7,90,21
PD1035,16,25,20,2.3,80,11
PD1041,4,4,4,7,100,21
PD1044,15,24,22,1.5,66.7,134
PD1046,9,10,9,1.4,100,20
RE1000,4,5,5,1.4,80,21
RS1001,1,1,1,5,100,1
RS1002,1,1,1,1,100,1
RS1003,1,1,1,1,100,1
RS1004,1,1,1,2,100,21
RS1006,1,1,1,20,100,11
RS6701,6,6,6,9.3,100,10
RS6703,6,6,6,4.3,100,1
RS6704,6,6,6,2.3,100,1
RS6708,2,2,2,18.5,100,18
RS6709,3,3,3,16.3,100,8
RS6712,5,6,6,6.3,83.3,11
RS6713,4,4,4,6.3,100,8
RS6720,4,4,4,1.3,100,21
RS6721,4,4,4,10,100,17
RS6722,3,3,3,8,100,1
RS6724,2,2,2,20,100,194
RS6725,2,2,2,9.5,100,11
RS6726,5,5,5,1.6,100,21
RS6727,2,2,2,4.5,100,21
