hunt_code,species,sex_type,hunt_type,weapon,hunt_class,hunt_name,season,access_type,eligibility_class,draw_family,youth_flag,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status
DB1227,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Deer Haven CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,13.0,13.0,100.0,5.8,4.6,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1228,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Deseret CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,13.0,0.0,13.0,0.0,0.0,0.0,FULL_SPLIT,True,83.0,70.0,84.3,3.2,4.7,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1229,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Dilly Ranch CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,9.0,90.0,3.7,4.8,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1230,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Double R Ranch CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,16.0,14.0,87.5,3.0,4.9,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1231,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Dove Creek CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,9.0,90.0,4.6,4.7,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1232,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Durst Mountain CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,7.0,5.0,71.4,3.2,4.8,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1233,Deer,Buck,CWMU,Any Legal Weapon,CWMU,East Fork Chalk Creek CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,4.0,0.0,4.0,0.0,0.0,0.0,FULL_SPLIT,True,40.0,31.0,77.5,6.4,4.3,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1234,Deer,Buck,CWMU,Any Legal Weapon,CWMU,East Zion CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,8.0,80.0,7.0,4.6,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1236,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Engineer Springs CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,1.0,1.0,100.0,5.0,4.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1237,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Ensign Ranches CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,3.0,0.0,3.0,0.0,0.0,0.0,FULL_SPLIT,True,31.0,28.0,90.3,3.3,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1238,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Folley Ridge CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,3.0,0.0,3.0,0.0,0.0,0.0,FULL_SPLIT,True,13.0,10.0,76.9,3.4,4.2,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1239,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Fort Ranch CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,2.0,2.0,100.0,3.0,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1240,Deer,Buck,CWMU,Any Legal Weapon,CWMU,George Creek CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,6.0,3.0,50.0,6.5,4.3,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1241,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Golden Spike CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,5.0,5.0,100.0,3.5,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1242,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Grass Valley/Clark Canyon CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,14.0,0.0,14.0,0.0,0.0,0.0,FULL_SPLIT,True,102.0,93.0,91.2,3.7,4.5,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1243,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Grazing Pasture CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,7.0,70.0,5.0,4.7,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1244,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Green Canyon CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,7.0,5.0,71.4,7.3,4.9,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1245,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Guildersleeve CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,8.0,80.0,4.0,4.5,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1246,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Hardscrabble CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,13.0,8.0,61.5,4.2,3.6,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1248,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Heaston East CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,20.0,18.0,90.0,3.0,4.8,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1249,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Hiawatha CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,7.0,6.0,85.7,3.3,3.3,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1250,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Indian Creek CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,3.0,2.0,66.7,1.7,3.3,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1251,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Indian Head CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,14.0,12.0,85.7,3.5,4.8,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1252,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Ingham Peak CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,5.0,0.0,5.0,0.0,0.0,0.0,FULL_SPLIT,True,32.0,32.0,100.0,4.0,4.5,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1253,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Circle E Ranch CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,7.0,7.0,100.0,1.4,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1255,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Johnson Mountain Ranch CWMU,Contact operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,2.0,0.0,0.0,9.5,2.5,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1256,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Junction Valley CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,6.0,0.0,6.0,0.0,0.0,0.0,FULL_SPLIT,True,47.0,34.0,72.3,3.5,4.6,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
