hunt_code,year,residency,points,application_value_score,decision_label,modeled_draw_probability_score,hunt_quality_score,point_value_score,demand_opportunity_score,permit_stability_score
BI6504,2026,Nonresident,26,44.579,POINT CREEP WARNING,8.333,65.85,68.0,100.0,0.0
BI6504,2026,Nonresident,25,44.837,POINT CREEP WARNING,12.5,65.85,60.0,100.0,0.0
BI6504,2026,Nonresident,24,41.763,POINT CREEP WARNING,7.143,65.85,52.0,100.0,0.0
BI6504,2026,Nonresident,23,40.562,POINT CREEP WARNING,7.143,65.85,44.0,100.0,0.0
BI6504,2026,Nonresident,22,42.696,POINT CREEP WARNING,16.667,65.85,36.0,100.0,0.0
BI6504,2026,Nonresident,21,38.579,POINT CREEP WARNING,8.333,65.85,28.0,100.0,0.0
BI6504,2026,Nonresident,20,36.962,POINT CREEP WARNING,7.143,65.85,20.0,100.0,0.0
BI6504,2026,Nonresident,19,33.332,POINT CREEP WARNING,5.556,65.85,12.0,87.5,0.0
BI6504,2026,Nonresident,18,28.066,POINT CREEP WARNING,4.167,65.85,4.0,63.636,0.0
BI6504,2026,Nonresident,17,17.764,POINT CREEP WARNING,0.526,65.85,0.0,7.447,0.0
BI6504,2026,Nonresident,16,18.372,POINT CREEP WARNING,0.769,65.85,0.0,10.938,0.0
BI6504,2026,Nonresident,15,18.645,POINT CREEP WARNING,0.877,65.85,0.0,12.5,0.0
BI6504,2026,Nonresident,14,18.05,POINT CREEP WARNING,0.641,65.85,0.0,9.091,0.0
BI6504,2026,Nonresident,13,18.434,POINT CREEP WARNING,0.794,65.85,0.0,11.29,0.0
BI6504,2026,Nonresident,12,18.645,POINT CREEP WARNING,0.877,65.85,0.0,12.5,0.0
BI6504,2026,Nonresident,11,18.315,POINT CREEP WARNING,0.746,65.85,0.0,10.606,0.0
BI6504,2026,Nonresident,10,18.161,POINT CREEP WARNING,0.685,65.85,0.0,9.722,0.0
BI6504,2026,Nonresident,9,17.885,POINT CREEP WARNING,0.575,65.85,0.0,8.14,0.0
BI6504,2026,Nonresident,8,17.885,POINT CREEP WARNING,0.575,65.85,0.0,8.14,0.0
BI6504,2026,Nonresident,7,17.411,POINT CREEP WARNING,0.385,65.85,0.0,5.426,0.0
BI6504,2026,Nonresident,6,17.482,POINT CREEP WARNING,0.413,65.85,0.0,5.833,0.0
BI6504,2026,Nonresident,5,17.449,POINT CREEP WARNING,0.4,65.85,0.0,5.645,0.0
BI6504,2026,Nonresident,4,17.465,POINT CREEP WARNING,0.407,65.85,0.0,5.738,0.0
BI6504,2026,Nonresident,3,17.474,POINT CREEP WARNING,0.41,65.85,0.0,5.785,0.0
BI6504,2026,Nonresident,2,17.33,POINT CREEP WARNING,0.352,65.85,0.0,4.965,0.0
BI6504,2026,Nonresident,1,25.129,POINT CREEP WARNING,3.333,65.85,0.0,50.0,0.0
BI6504,2026,Nonresident,0,17.178,POINT CREEP WARNING,0.291,65.85,0.0,4.094,0.0
BI6505,2026,Resident,32,19.949,INSUFFICIENT DATA,0.0,62.194,0.0,0.0,44.0
BI6505,2026,Resident,31,19.949,INSUFFICIENT DATA,0.0,62.194,0.0,0.0,44.0
BI6505,2026,Resident,30,20.549,INSUFFICIENT DATA,0.0,62.194,4.0,0.0,44.0
